"route_id","lon","lat","split","wc2.1_10m_bio_2","wc2.1_10m_bio_3","wc2.1_10m_bio_5","wc2.1_10m_bio_8","wc2.1_10m_bio_9","wc2.1_10m_bio_13","wc2.1_10m_bio_15","wc2.1_10m_bio_18","y"
"6341089",-85.6508719,31.6676037,"evaluation_excluded",12.5922498703003,41.7421493530273,32.5555000305176,10.7983751296997,18.7513751983643,159,21.6916332244873,357,0
"6341090",-87.3907904,34.4236313,"training",12.7196245193481,38.473201751709,31.75,15.2395000457764,20.9327087402344,165,18.6516189575195,311,0
"6341091",-85.565583,34.5810567,"training",12.6679162979126,38.8196411132812,30.2992496490479,6.00595855712891,19.6769161224365,171,17.1472702026367,332,0
"6341092",-88.0092154,33.2811827,"training",13.0377292633057,39.729793548584,32.7157516479492,12.3080415725708,22.1094169616699,162,20.7337226867676,323,0
"6341093",-87.4241383,33.2638251,"training",13.0648536682129,39.8546524047852,32.8470001220703,8.78783321380615,22.2065410614014,162,18.2443027496338,343,0
"6341094",-86.4457647,33.718519,"training",13.2228126525879,40.2928771972656,31.951000213623,7.80554151535034,21.160249710083,167,19.3516597747803,326,0
"6341095",-87.5381089,32.4128107,"training",13.4975833892822,41.7733116149902,33.377498626709,10.0399580001831,23.0138740539551,168,22.4758739471436,320,0
"6341096",-85.8711729,32.4341515,"evaluation_excluded",12.9202499389648,41.4801902770996,33.1389999389648,10.5299997329712,23.2013740539551,169,22.2783222198486,336,0
"6341097",-87.0654001,31.2283931,"evaluation_excluded",13.4472703933716,44.4990234375,32.8279991149902,11.3401250839233,19.0521659851074,176,19.2861976623535,446,0
"6341099",-86.270046,31.4086552,"evaluation_excluded",13.1177082061768,43.2966957092285,32.7625007629395,11.1095418930054,18.9332084655762,160,17.862325668335,381,0
"6341101",-85.4115544,31.0322875,"testing",12.5604791641235,42.7172698974609,32.835750579834,26.6514167785645,19.7417087554932,154,20.8993053436279,406,0
"6341102",-87.7299991,30.3038647,"evaluation_excluded",9.84100437164307,38.119945526123,31.9794692993164,26.9437084197998,16.4133548736572,183,21.046350479126,510,0
"6341104",-86.9887629,34.9292307,"training",12.7903327941895,37.9704132080078,31.6084995269775,14.8210830688477,20.6370010375977,166,18.1785221099854,315,0
"6341105",-86.0671689,34.9895137,"evaluation_excluded",12.2609167098999,37.8490524291992,30.1774997711182,5.96412515640259,19.6565418243408,170,16.7464485168457,330,0
"6341106",-87.2543912,34.6030578,"training",12.7312288284302,38.1834754943848,31.9312496185303,15.3422498703003,21.0568752288818,164,18.4958820343018,309,0
"6341107",-86.4734413,34.2126918,"training",13.0277709960938,39.184211730957,31.7617492675781,7.10616636276245,20.8998336791992,164,19.8450679779053,308,0
"6341108",-85.9323092,34.3086241,"training",12.7089166641235,38.7496490478516,31.3962497711182,7.04458332061768,20.708833694458,164,20.0880298614502,308,0
"6341109",-85.7466579,33.6296357,"training",12.7731246948242,40.0101013183594,31.632999420166,8.19016647338867,21.2370414733887,168,19.8273429870605,321,0
"6341110",-87.8350582,31.0706664,"evaluation_excluded",12.4850625991821,42.5969619750977,33.1162490844727,26.761625289917,19.669750213623,177,18.4861679077148,456,0
"6341112",-88.1123348,30.248466,"evaluation_excluded",8.91706371307373,35.7226905822754,31.8714275360107,27.0380954742432,16.5047626495361,182,19.2412223815918,477,0
"6341113",-87.5183917,30.2816323,"evaluation_excluded",9.88992691040039,38.1863288879395,31.9965209960938,27.2118835449219,16.3826084136963,189,21.9202423095703,520,0
"6341116",-87.6024375,30.370222,"evaluation_excluded",10.9792718887329,40.4287261962891,32.3007621765137,27.0939083099365,16.0154399871826,193,21.0123691558838,525,0
"6341117",-86.3312989,33.2905307,"training",13.9018545150757,42.1897964477539,32.8782501220703,8.97137546539307,22.0072078704834,170,19.5563163757324,332,0
"6341118",-85.450491,33.9413322,"training",12.8327293395996,39.9944801330566,31.1052494049072,10.9134168624878,20.5849590301514,167,18.6014518737793,333,0
"6341119",-86.1117753,32.822371,"training",12.8918333053589,41.1968536376953,32.3914985656738,9.55624961853027,22.294958114624,174,21.8814640045166,353,0
"6341120",-86.6604516,34.8223669,"training",12.826229095459,37.9831047058105,32.1237487792969,6.98562479019165,21.1485824584961,166,18.7118377685547,310,0
"6341121",-85.8594579,34.7575557,"training",13.1311254501343,39.1261444091797,31.7864990234375,6.68683338165283,20.7316665649414,165,17.3983592987061,316,0
"6341122",-88.1671198,33.6853138,"training",13.3632917404175,39.7675590515137,32.7664985656738,8.10570812225342,21.7980422973633,163,19.1172313690186,311,0
"6341123",-86.3813006,33.8564625,"training",12.943208694458,39.596508026123,31.4812507629395,7.31074953079224,20.796459197998,168,19.5679779052734,329,0
"6341124",-86.1573541,33.3180161,"training",13.3789377212524,41.6484451293945,31.8722496032715,8.4821252822876,21.3360824584961,174,19.5644779205322,341,0
"6341125",-85.464604,33.1844368,"training",13.2177076339722,41.4442405700684,31.6299991607666,8.34258365631104,21.234375,167,20.6683559417725,331,0
"6341126",-87.3792753,32.1930088,"evaluation_excluded",13.3622703552246,41.9695663452148,33.1822509765625,10.2216663360596,22.9174156188965,168,23.1329441070557,328,0
"6341127",-86.5697685,32.4860839,"evaluation_excluded",12.6172294616699,40.619499206543,33.1417503356934,10.5687503814697,23.1957511901855,166,21.6201362609863,323,0
"6341128",-85.2532189,32.5033347,"evaluation_excluded",12.8987913131714,41.4355773925781,32.3074989318848,9.6584997177124,22.3369998931885,161,22.2265682220459,346,0
"6341130",-87.6361759,31.7459607,"evaluation_excluded",13.606499671936,43.4271926879883,33.1505012512207,10.7467918395996,23.0800838470459,177,22.0826511383057,367,0
"6341131",-85.2558091,31.7296264,"evaluation_excluded",12.8022499084473,42.3158912658691,32.7815017700195,10.9125833511353,18.8855838775635,152,22.7913017272949,363,0
"6341132",-87.6374375,30.803493,"evaluation_excluded",12.0542917251587,42.220947265625,32.536750793457,26.6411247253418,15.1742076873779,195,20.1695919036865,518,0
"6341138",-141.2785932,64.552796,"training",11.1957712173462,22.6322345733643,19.9570007324219,11.304500579834,-15.0019998550415,62,78.658203125,159,0
"6341140",-144.0890949,65.7907167,"evaluation_excluded",11.9544382095337,21.927806854248,22.4745006561279,13.9957084655762,-15.592791557312,37,65.8487854003906,102,0
"6341141",-146.727508,65.2698047,"training",12.0156450271606,25.5624847412109,21.0707492828369,12.7376670837402,-12.0922498703003,57,62.8861808776855,158,0
"6341142",-146.0769649,64.2556227,"training",12.1738119125366,26.4161415100098,21.8279991149902,13.7306661605835,-9.3837080001831,62,78.8909149169922,172,0
"6341143",-148.417832,65.5631957,"training",10.4059171676636,21.4637966156006,21.5020008087158,13.227707862854,-13.1838750839233,52,61.6815872192383,143,0
"6341144",-143.8893879,62.7247807,"training",11.3515625,26.7169456481934,19.25950050354,11.0217504501343,-9.29024982452393,68,62.9991455078125,172,0
"6341145",-143.9862892,63.6152141,"training",10.9698543548584,23.1685695648193,21.880500793457,13.3095836639404,-9.45708274841309,56,75.7454528808594,143,0
"6341146",-141.8052529,63.0127307,"training",12.0590829849243,23.640510559082,20.2822494506836,12.0000419616699,-20.1919593811035,68,92.1041107177734,164,0
"6341147",-146.0607299,63.0531897,"training",9.64500045776367,24.5185890197754,17.0797500610352,9.74874973297119,-11.5054588317871,67,81.3416290283203,174,0
"6341148",-147.944427,63.2771884,"training",9.60004138946533,24.6104431152344,17.3864994049072,10.2930002212524,-11.1377086639404,72,64.4840774536133,185,0
"6341149",-148.86,63.3793062,"training",10.4825620651245,27.1945896148682,18.1572494506836,10.7318334579468,-3.86374974250793,76,55.5776290893555,202,0
"6341152",-134.7660128,58.4423687,"evaluation_excluded",6.9765191078186,28.9613552093506,17.5614585876465,4.90008687973022,7.64088535308838,216,35.5705299377441,310,0
"6341153",-133.0848056,55.5557449,"training",6.03953790664673,32.597297668457,17.1302185058594,4.01298046112061,10.8897190093994,515,37.0295562744141,528,0
"6341154",-146.9948586,64.5464143,"training",11.1841459274292,23.5449504852295,21.804500579834,14.1919164657593,-9.88208293914795,61,58.7744331359863,167,0
